pid,assignees,review_count_expected,product_url,review_url
ACCG5GW3HWQSQERA,Chinmoy,4028,https://www.flipkart.com/zebronics-jaguar-ambidextrous-optical-mouse-high-precision-4-buttons-plug-play/p/itmcde0156fb6e24?pid=ACCG5GW3HWQSQERA&lid=LSTACCG5GW3HWQSQERAZ5EQ30&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_1_30&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=2dd7e2bb-e6cc-4b4d-9d28-8639ba6cf9ca.ACCG5GW3HWQSQERA.SEARCH&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/zebronics-jaguar-ambidextrous-optical-mouse-high-precision-4-buttons-plug-play/product-reviews/itmcde0156fb6e24?pid=ACCG5GW3HWQSQERA&lid&marketplace=FLIPKART
ACCG69KHU2ZP8TGG,Chinmoy,8168,https://www.flipkart.com/portronics-toad-13-ambidextrous-optical-mouse-runs-single-aa-battery-30-lakhs-click-life-upto-1200-dpi-por-1381/p/itm540d626cfb0c8?pid=ACCG69KHU2ZP8TGG&lid=LSTACCG69KHU2ZP8TGGZAL5UR&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=en_JmTIUGrZHc6E-Ef22NESK2gxwecVoWHLRVMV20ROejHRAcLIxZBI2ZJwBboLEy3RG0t032htslSFME0xK7qv8L0PRM2zYGYOyz1Xa9iYwKClr9jsbMKci3_SOfYchgEi&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/portronics-toad-13-ambidextrous-optical-mouse-runs-single-aa-battery-30-lakhs-click-life-upto-1200-dpi-por-1381/product-reviews/itm540d626cfb0c8?pid=ACCG69KHU2ZP8TGG&lid&marketplace=FLIPKART
ACCGEVGCGZU3UAYV,Chinmoy,4682,https://www.flipkart.com/arctic-fox-breathing-lights-dpi-upto-3600-wired-ambidextrous-optical-gaming-mouse/p/itmcdac7e0d67fca?pid=ACCGEVGCGZU3UAYV&lid=LSTACCGEVGCGZU3UAYVREZRSV&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=2dd7e2bb-e6cc-4b4d-9d28-8639ba6cf9ca.ACCGEVGCGZU3UAYV.SEARCH&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/arctic-fox-breathing-lights-dpi-upto-3600-wired-ambidextrous-optical-gaming-mouse/product-reviews/itmcdac7e0d67fca?pid=ACCGEVGCGZU3UAYV&lid&marketplace=FLIPKART
ACCGVUZSRXGPY8S6,Chinmoy,1852,https://www.flipkart.com/arctic-fox-pureview-transparent-wireless-bluetooth-rechargeable-mouse-ambidextrous-optical-gaming/p/itmd28f9c343e04e?pid=ACCGVUZSRXGPY8S6&lid=LSTACCGVUZSRXGPY8S6COZKNV&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_2_42&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=en_MPjEky28-bZFssxGsJnHGwVEfBiXacmSIYhlNCPN21B_pY-J2FPr9aj3_ZyJ4IEdFIu4wgt8SMatCcOj00GeWlPIumDkqW8NEVtrEp-qtZLB_xAgK2mBCBS3fcfHzMlH&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/arctic-fox-pureview-transparent-wireless-bluetooth-rechargeable-mouse-ambidextrous-optical-gaming/product-reviews/itmd28f9c343e04e?pid=ACCGVUZSRXGPY8S6&lid&marketplace=FLIPKART
ACCGWT2FEWBDQZGP,Chinmoy,395,https://www.flipkart.com/clat-80-w-supervooc-6-wall-charger-mobile-detachable-cable/p/itmf5ac579cdf9ea?pid=ACCGWT2FEWBDQZGP&lid=LSTACCGWT2FEWBDQZGPGNPMQG&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers&fm=organic&iid=725e1a1d-8b99-40cb-80e6-3a56cd108308.ACCGWT2FEWBDQZGP.SEARCH&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/clat-80-w-supervooc-6-wall-charger-mobile-detachable-cable/product-reviews/itmf5ac579cdf9ea?pid=ACCGWT2FEWBDQZGP&lid&marketplace=FLIPKART
ACCH29UHKHNUW9QC,Chinmoy,1995,https://www.flipkart.com/portronics-toad-one-ambidextrous-optical-mouse-6-buttons-rgb-lights-rechargeable/p/itm99135cb40a438?pid=ACCH29UHKHNUW9QC&lid=LSTACCH29UHKHNUW9QCR5J1NW&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_2_59&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=91aa3679-9459-4a3e-87ed-3890012f9da1.ACCH29UHKHNUW9QC.SEARCH&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/portronics-toad-one-ambidextrous-optical-mouse-6-buttons-rgb-lights-rechargeable/product-reviews/itm99135cb40a438?pid=ACCH29UHKHNUW9QC&lid&marketplace=FLIPKART
ACCHBFVKCBSTE37J,Chinmoy,2346,https://www.flipkart.com/flipkart-smartbuy-tc-m500-ergonomic-optical-mouse/p/itm1d606a891bdf0?pid=ACCHBFVKCBSTE37J&lid=LSTACCHBFVKCBSTE37JFV2TMT&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&spotlightTagId=default_BestsellerId_6bo%2Ftia%2F8pp%2Fp0w&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=2dd7e2bb-e6cc-4b4d-9d28-8639ba6cf9ca.ACCHBFVKCBSTE37J.SEARCH&ppt=browse&ppn=browse&ssid=7g727ct7740000001787004202533&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/flipkart-smartbuy-tc-m500-ergonomic-optical-mouse/product-reviews/itm1d606a891bdf0?pid=ACCHBFVKCBSTE37J&lid&marketplace=FLIPKART
ACCHF7KFTEUGHZGC,Chinmoy,2346,https://www.flipkart.com/flipkart-smartbuy-tc-m500-ergonomic-optical-mouse/p/itm1d606a891bdf0?pid=ACCHF7KFTEUGHZGC&lid=LSTACCHF7KFTEUGHZGCAQ7I6N&marketplace=FLIPKART&store=6bo%2Ftia%2F8pp%2Fp0w&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mouse&fm=organic&iid=en_JmTIUGrZHc6E-Ef22NESK2gxwecVoWHLRVMV20ROejHvAe3-FeVC31sK9HDR6cMmnXPD_gqKhtCDc9LlIc81-zLkZbRe2_7Ps0A74uy17h2VU8GVQTi2yd9Qip4mUYUp&ppt=browse&ppn=browse&ssid=7g727ct7740000001787004202533&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/flipkart-smartbuy-tc-m500-ergonomic-optical-mouse/product-reviews/itm1d606a891bdf0?pid=ACCHF7KFTEUGHZGC&lid&marketplace=FLIPKART
ACCHNNY9BERXHV2W,Chinmoy,432,https://www.flipkart.com/shopbucket-80-w-supervooc-7-3-wall-charger-mobile-detachable-cable/p/itm21ba5c58faa04?pid=ACCHNNY9BERXHV2W&lid=LSTACCHNNY9BERXHV2WKUQYKC&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&spotlightTagId=default_BestsellerId_tyy%2F4mr%2Ftp2&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers&fm=organic&iid=725e1a1d-8b99-40cb-80e6-3a56cd108308.ACCHNNY9BERXHV2W.SEARCH&ppt=browse&ppn=browse&ssid=7coeh9egw00000001787004623641&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/shopbucket-80-w-supervooc-7-3-wall-charger-mobile-detachable-cable/product-reviews/itm21ba5c58faa04?pid=ACCHNNY9BERXHV2W&lid&marketplace=FLIPKART
BKPFWJHMS8FUQFSW,Chinmoy,51396,https://www.flipkart.com/provogue-unisex-spacy-rain-cover-reflective-strip-35-l-laptop-backpack/p/itm67c27c7c91a54?pid=BKPFWJHMS8FUQFSW&lid=LSTBKPFWJHMS8FUQFSWYOEOO0&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666uDuHBE9NAzmHZAJvUmsXDrQ8KtdTVwpYPGdYl61UzJGV7UVMc7kXg0QSh16w7sdzUc5HGw9LR1QmHmaiuJSaRy&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/provogue-unisex-spacy-rain-cover-reflective-strip-35-l-laptop-backpack/product-reviews/itm67c27c7c91a54?pid=BKPFWJHMS8FUQFSW&lid&marketplace=FLIPKART
BKPGMMHFKANMDYEP,Chinmoy,15461,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/p/itmc8df34df6a276?pid=BKPGMMHFKANMDYEP&lid=LSTBKPGMMHFKANMDYEPW7GKOF&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&spotlightTagId=default_BestsellerId_reh%2F4d7%2Fx9i&srno=b_1_38&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666sBiN1pX05D7FGk6YseJ78E_dnYkVW5yxb0SUJxKmnMFwAsZH34veNqt5c9KK-5RSoc5HGw9LR1QmHmaiuJSaRy&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/product-reviews/itmc8df34df6a276?pid=BKPGMMHFKANMDYEP&lid&marketplace=FLIPKART
BKPGMMHFKRYPW68P,Chinmoy,15416,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/p/itmc8c20d128072b?pid=BKPGMMHFKRYPW68P&lid=LSTBKPGMMHFKRYPW68PWGT8UE&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&srno=b_1_27&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666spPGIJqRDHybogv9izocvi28ish5lJRFSNj7Z281ejKIQqyaHKAp0a3FAS6d3PXUwc5HGw9LR1QmHmaiuJSaRy&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/product-reviews/itmc8c20d128072b?pid=BKPGMMHFKRYPW68P&lid&marketplace=FLIPKART
BKPGYN2DHCSPZHCT,Chinmoy,1958,https://www.flipkart.com/hrx-hrithik-roshan-sefton-bize2go-pro-unisex-travel-40-l-laptop-backpack/p/itmef5cfa6b6929d?pid=BKPGYN2DHCSPZHCT&lid=LSTBKPGYN2DHCSPZHCTOKPQ0A&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666tlfJCwrLOU4QGMuOH-bLa8sjYGzoHwjXEi2ZKXI9BOsYbFsjXtjHaZ0FfscOvYskUc5HGw9LR1QmHmaiuJSaRy&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/hrx-hrithik-roshan-sefton-bize2go-pro-unisex-travel-40-l-laptop-backpack/product-reviews/itmef5cfa6b6929d?pid=BKPGYN2DHCSPZHCT&lid&marketplace=FLIPKART
BKPH5KPZRD3JE5RW,Chinmoy,680,https://www.flipkart.com/roadster-unique-aesthetic-30-l-laptop-backpack/p/itmdcae5fc21d9f8?pid=BKPH5KPZRD3JE5RW&lid=LSTBKPH5KPZRD3JE5RWYPSM7J&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666u8lAJX72wekdeXNS0ggRZKRHVhjc-ITIiK5RdcvcWIAv9vR82Evr_5-PnMX-wWvbCJG7BG9qWOYakF3nRNJk35&ppt=browse&ppn=browse&ssid=v5wz2x7n0w0000001787004763224&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/roadster-unique-aesthetic-30-l-laptop-backpack/product-reviews/itmdcae5fc21d9f8?pid=BKPH5KPZRD3JE5RW&lid&marketplace=FLIPKART
BKPHJCQXA43FJPS4,Chinmoy,680,https://www.flipkart.com/roadster-water-resistant-raincover-bottom-pad-37-l-laptop-backpack/p/itm45bd7a0ec219f?pid=BKPHJCQXA43FJPS4&lid=LSTBKPHJCQXA43FJPS4BT4PFJ&marketplace=FLIPKART&store=reh%2F4d7%2Fx9i&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Laptop%20Bags&fm=organic&iid=en_vbR5uQ3_KlHJ4ubhYE94Y--9DhnSlRIyFwfB4Sr666um5eaZXcyQPnbK13NgXkCV42xjGrAQg-zA4866LjNTSbSco7-LSFNqQU3kfe3jWziJG7BG9qWOYakF3nRNJk35&ppt=browse&ppn=browse&ov_redirect=true&ov_redirect=true,https://www.flipkart.com/roadster-water-resistant-raincover-bottom-pad-37-l-laptop-backpack/product-reviews/itm45bd7a0ec219f?pid=BKPHJCQXA43FJPS4&lid&marketplace=FLIPKART
